Epoch,Abundance_Loss,Val_mSAD,Val_mRMSE
1,0.15105961006099042,0.7986092567443848,0.45920056
2,0.10974363908885768,0.7986092567443848,0.4716798
3,0.10195447325992127,0.7986092567443848,0.47075203
4,0.09884012038239275,0.7986092567443848,0.47199908
5,0.09758495020504576,0.7986092567443848,0.46863842
6,0.09659167964713641,0.7986092567443848,0.4732852
7,0.09643923388883328,0.7986092567443848,0.47553167
8,0.09538238619367917,0.7986092567443848,0.46761084
9,0.09475040942811357,0.7986092567443848,0.4725119
10,0.09447746419202024,0.7986092567443848,0.47111607
11,0.09400775485907119,0.7986092567443848,0.47575507
12,0.09377177131061737,0.7986092567443848,0.4671737
13,0.0931458697913173,0.7986092567443848,0.47924912
14,0.09250098928666343,0.7986092567443848,0.47650844
15,0.09245787491908851,0.7986092567443848,0.47717947
16,0.09239372151633041,0.7986092567443848,0.47467422
17,0.09209694284886218,0.7986092567443848,0.47411692
18,0.09153246215452401,0.7986092567443848,0.47509748
19,0.09172410689318142,0.7986092567443848,0.4748124
20,0.09175268570169473,0.7986092567443848,0.4772595
21,0.09133029169739244,0.7986092567443848,0.4759369
22,0.09141954591575141,0.7986092567443848,0.4750297
23,0.09094024273438957,0.7986092567443848,0.47474426
24,0.09067977841098468,0.7986092567443848,0.4776827
25,0.09083205811417522,0.7986092567443848,0.47524732
26,0.09081030508485465,0.7986092567443848,0.4733649
27,0.09064607688794121,0.7986092567443848,0.4716921
28,0.09056512023599003,0.7986092567443848,0.4723683
29,0.09050991352849876,0.7986092567443848,0.47311047
30,0.09055515652456984,0.7986092567443848,0.47471476
31,0.09052165152546697,0.7986092567443848,0.47445363
32,0.09034813940525055,0.7986092567443848,0.46854472
33,0.09014780124345907,0.7986092567443848,0.47583562
34,0.09001603741615344,0.7986092567443848,0.47617316
35,0.09001719911163227,0.7986092567443848,0.47607678
36,0.0897789302582558,0.7986092567443848,0.47497746
37,0.09005005205401216,0.7986092567443848,0.47185296
38,0.0900240447788764,0.7986092567443848,0.47470945
39,0.08996766810409558,0.7986092567443848,0.47063637
40,0.08963037634524293,0.7986092567443848,0.46930018
41,0.0897927220446614,0.7986092567443848,0.47024015
42,0.08993128722848984,0.7986092567443848,0.47018927
43,0.08971753238012996,0.7986092567443848,0.4769325
44,0.08949922858335721,0.7986092567443848,0.47263092
45,0.08967060564805905,0.7986092567443848,0.47628945
46,0.08953852842029292,0.7986092567443848,0.47625697
47,0.08935656316411762,0.7986092567443848,0.47408032
48,0.08955801414034237,0.7986092567443848,0.47650993
49,0.08938176530047347,0.7986092567443848,0.47578016
50,0.0895461328208637,0.7986092567443848,0.47086585
